Year,Status,Rate,Bracket_Gt
2025,HOH,0.1,0
2025,HOH,0.12,17000
2025,HOH,0.22,64850
2025,HOH,0.24,103350
2025,HOH,0.32,197300
2025,HOH,0.35,250500
2025,HOH,0.37,626350
2025,MFJ,0.1,0
2025,MFJ,0.12,23850
2025,MFJ,0.22,96950
2025,MFJ,0.24,206700
2025,MFJ,0.32,394600
2025,MFJ,0.35,501050
2025,MFJ,0.37,751600
2025,MFS,0.1,0
2025,MFS,0.12,11925
2025,MFS,0.22,48475
2025,MFS,0.24,103350
2025,MFS,0.32,197300
2025,MFS,0.35,250525
2025,MFS,0.37,375800
2025,S,0.1,0
2025,S,0.12,11925
2025,S,0.22,48475
2025,S,0.24,103350
2025,S,0.32,197300
2025,S,0.35,250525
2025,S,0.37,626350
2024,HOH,0.1,0
2024,HOH,0.12,16550
2024,HOH,0.22,63100
2024,HOH,0.24,100500
2024,HOH,0.32,191950
2024,HOH,0.35,243700
2024,HOH,0.37,609350
2024,MFJ,0.1,0
2024,MFJ,0.12,23200
2024,MFJ,0.22,94300
2024,MFJ,0.24,201050
2024,MFJ,0.32,383900
2024,MFJ,0.35,487450
2024,MFJ,0.37,731200
2024,MFS,0.1,0
2024,MFS,0.12,11600
2024,MFS,0.22,47150
2024,MFS,0.24,100525
2024,MFS,0.32,191950
2024,MFS,0.35,243725
2024,MFS,0.37,365600
2024,S,0.1,0
2024,S,0.12,11600
2024,S,0.22,47150
2024,S,0.24,100525
2024,S,0.32,191950
2024,S,0.35,243725
2024,S,0.37,609350
2023,HOH,0.1,0
2023,HOH,0.12,15700
2023,HOH,0.22,59850
2023,HOH,0.24,95350
2023,HOH,0.32,182100
2023,HOH,0.35,231250
2023,HOH,0.37,578100
2023,MFJ,0.1,0
2023,MFJ,0.12,22000
2023,MFJ,0.22,89450
2023,MFJ,0.24,190750
2023,MFJ,0.32,364200
2023,MFJ,0.35,462500
2023,MFJ,0.37,693750
2023,MFS,0.1,0
2023,MFS,0.12,11000
2023,MFS,0.22,44725
2023,MFS,0.24,95375
2023,MFS,0.32,182100
2023,MFS,0.35,231250
2023,MFS,0.37,346875
2023,S,0.1,0
2023,S,0.12,11000
2023,S,0.22,44725
2023,S,0.24,95375
2023,S,0.32,182000
2023,S,0.35,231250
